과목명,과목구분,운영학과,강의시간,교수명,성적평가방식,수업형태
사회봉사(1),일반선택,대학 학과공통,,류진석,PASS/FAIL,가상강의(보조강의)
교육봉사 2,교직,대학 학과공통,,박환보,PASS/FAIL,가상강의(보조강의)
교육봉사 1,교직,대학 학과공통,,박환보,PASS/FAIL,가상강의(보조강의)
성인지교육1,교직,대학 학과공통,,박환보,PASS/FAIL,가상강의(보조강의)
성인지교육2,교직,대학 학과공통,,박환보,PASS/FAIL,가상강의(보조강의)
성인지교육3,교직,대학 학과공통,,박환보,PASS/FAIL,가상강의(보조강의)
성인지교육4,교직,대학 학과공통,,박환보,PASS/FAIL,가상강의(보조강의)
현대사회와 직업의 세계,교양(소양),대학 학과공통,목14:00~16:00(교111),이승환,GRADE,가상강의(보조강의)
현대사회와 직업의 세계,교양(소양),대학 학과공통,목16:00~18:00(교111),이승환,GRADE,가상강의(보조강의)
직업과 진로,교양(소양),대학 학과공통,화14:00~16:00(교111),이승환,GRADE,가상강의(보조강의)
직업과 진로,교양(소양),대학 학과공통,화16:00~18:00(교111),이승환,GRADE,가상강의(보조강의)
스포츠융복합산업론,교양(소양),대학 학과공통,"수10:30~12:00(교202A), 금09:00~10:30(교207)",최재선,GRADE,가상강의(보조강의)
현대인의 경제활동과 법률,교양(소양),대학 학과공통,목15:00~18:00(교204A),김종희,GRADE,가상강의(보조강의)
표현과예술심리치료,교양(소양),대학 학과공통,화09:00~12:00(교208),고홍월,GRADE,가상강의(보조강의)
과학과문화,교양(소양),대학 학과공통,목09:00~12:00(농2402),최인철,GRADE,가상강의(보조강의)
정의란무엇인가,교양(소양),대학 학과공통,금09:00~12:00(교408),신진,GRADE,가상강의(보조강의)
범죄의진실과오해,교양(소양),대학 학과공통,"월10:30~12:00, 수10:30~12:00",곽대훈,GRADE,가상강의(보조강의)
범죄의진실과오해,교양(소양),대학 학과공통,"월13:00~14:30, 수13:00~14:30",곽대훈,GRADE,가상강의(보조강의)
공존을위한창의적설계,교양(소양),대학 학과공통,금09:00~12:00(공2258-B),권재열,GRADE,가상강의(보조강의)
창의적발상론,교양(소양),대학 학과공통,금09:00~12:00(공2258-C),박경혜,GRADE,가상강의(보조강의)
생활속텍스트의이해,교양(소양),대학 학과공통,목15:00~18:00(인0102),백미현,GRADE,가상강의(보조강의)
말하기와토론,교양(소양),대학 학과공통,"화16:30~18:00(사강404), 수16:30~18:00(사강404)",김수정,GRADE,가상강의(보조강의)
마음과행동의뇌과학,교양(소양),대학 학과공통,"화12:00~13:30(교301), 금10:30~12:00(교105)",한석원,GRADE,가상강의(보조강의)
K-Culture와문화마케팅,교양(소양),대학 학과공통,"화15:00~16:30(교404A), 금10:30~12:00(교202A)",황복희,GRADE,가상강의(보조강의)
4차산업혁명과공공가치,교양(소양),대학 학과공통,금12:00~15:00(교408),신진,GRADE,가상강의(보조강의)
4차산업혁명시대를위한인문학입문,교양(소양),대학 학과공통,"수15:00~16:00(교104A), 목10:00~12:00(교305)",김경배,GRADE,가상강의(보조강의)
컴퓨팅 사고와 고전읽기,교양(소양),대학 학과공통,목14:00~17:00(교407),김정숙,GRADE,가상강의(보조강의)
글로벌 네트워킹과 협력: 기본 이해와 실제,교양(소양),대학 학과공통,목15:00~18:00(공2258-G),권재열,GRADE,가상강의(보조강의)
미래지속가능 웰니스융합,교양(소양),대학 학과공통,월10:00~12:00(교303B),송영신,GRADE,가상강의(보조강의)
융복합 학문의 원리에서 배우는 삶의 지혜,교양(소양),대학 학과공통,수15:00~18:00(사강405),고세일,GRADE,가상강의(보조강의)
프로그래밍언어,교양(균형),대학 학과공통,"월10:00~11:00(공4413), 월11:00~13:00(공4413)",박승환,GRADE,가상강의(보조강의)
